age,job,marital,housing,loan,contact,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,output,high.ed,season
39,self-employed,married,0,0,telephone,mon,233,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,technician,single,0,0,telephone,mon,255,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
54,management,married,1,0,telephone,mon,230,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,blue-collar,divorced,0,0,telephone,mon,208,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,services,married,0,0,telephone,mon,365,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,technician,married,1,0,telephone,mon,1666,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,admin.,married,1,0,telephone,mon,577,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
56,technician,married,1,0,telephone,mon,137,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
32,entrepreneur,married,1,0,telephone,mon,314,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
38,admin.,single,0,0,telephone,mon,160,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
57,admin.,married,0,1,telephone,mon,212,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
44,admin.,married,1,0,telephone,mon,188,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,technician,single,0,0,telephone,mon,22,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
57,admin.,married,1,1,telephone,mon,616,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
40,blue-collar,married,0,1,telephone,mon,178,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,admin.,married,1,0,telephone,mon,355,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
45,blue-collar,married,1,0,telephone,mon,225,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,admin.,married,0,0,telephone,mon,160,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,housemaid,married,0,1,telephone,mon,266,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
60,admin.,married,0,0,telephone,mon,253,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
53,admin.,single,0,0,telephone,mon,179,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
55,blue-collar,married,0,0,telephone,mon,269,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,technician,married,1,0,telephone,mon,135,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
50,management,married,0,1,telephone,mon,161,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
45,services,married,1,0,telephone,mon,787,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,unemployed,married,1,1,telephone,mon,145,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
25,technician,single,1,0,telephone,mon,174,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
47,entrepreneur,married,0,0,telephone,mon,449,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
51,blue-collar,married,1,0,telephone,mon,812,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,1,0,telephone,mon,164,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,0,0,telephone,mon,366,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
48,admin.,married,0,0,telephone,mon,357,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,admin.,married,0,0,telephone,mon,232,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
44,blue-collar,single,1,0,telephone,mon,91,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
56,admin.,married,1,0,telephone,mon,158,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
44,blue-collar,single,1,1,telephone,mon,177,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,management,married,0,0,telephone,mon,200,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
44,management,divorced,1,0,telephone,mon,172,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
47,admin.,married,1,0,telephone,mon,176,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
37,admin.,married,1,0,telephone,mon,214,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
41,blue-collar,divorced,1,0,telephone,mon,1575,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,0,spring
55,technician,married,0,0,telephone,mon,349,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
33,services,married,1,0,telephone,mon,337,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,0,0,telephone,mon,208,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
50,blue-collar,married,1,0,telephone,mon,193,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
38,admin.,married,0,0,telephone,mon,165,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
49,entrepreneur,married,1,0,telephone,mon,1042,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,1,spring
38,technician,single,0,1,telephone,mon,20,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
31,admin.,divorced,0,0,telephone,mon,246,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,management,married,0,0,telephone,mon,529,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,admin.,married,1,1,telephone,mon,192,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
49,technician,married,0,0,telephone,mon,1467,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,0,spring
34,admin.,married,1,0,telephone,mon,188,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,admin.,married,1,0,telephone,mon,180,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
33,unemployed,married,0,0,telephone,mon,545,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,0,1,telephone,mon,583,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,services,married,1,0,telephone,mon,221,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,management,married,0,0,telephone,mon,426,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
53,admin.,divorced,0,0,telephone,mon,287,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
37,technician,single,0,0,telephone,mon,197,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
44,blue-collar,married,0,0,telephone,mon,257,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
49,blue-collar,married,0,0,telephone,mon,55,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,admin.,divorced,0,0,telephone,mon,197,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
52,admin.,divorced,0,0,telephone,mon,190,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
43,services,single,0,0,telephone,mon,21,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,housemaid,married,1,0,telephone,mon,300,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,admin.,married,1,0,telephone,mon,123,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
60,retired,divorced,0,0,telephone,mon,514,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
58,unemployed,married,0,0,telephone,mon,849,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,services,divorced,1,0,telephone,mon,194,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,blue-collar,married,1,0,telephone,mon,212,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,management,married,0,0,telephone,mon,337,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
36,blue-collar,married,0,0,telephone,mon,286,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,admin.,divorced,0,0,telephone,mon,247,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
48,blue-collar,divorced,1,0,telephone,mon,178,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,blue-collar,married,1,0,telephone,mon,98,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
49,blue-collar,divorced,0,0,telephone,mon,439,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,services,married,0,0,telephone,mon,139,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,technician,married,1,0,telephone,mon,79,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
32,admin.,married,1,1,telephone,mon,175,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,admin.,married,0,1,telephone,mon,262,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
50,admin.,married,0,0,telephone,mon,61,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
31,technician,divorced,1,1,telephone,mon,78,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
56,retired,married,1,0,telephone,mon,102,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,technician,married,1,0,telephone,mon,579,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,1,spring
37,blue-collar,married,1,1,telephone,mon,143,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
41,technician,married,0,0,telephone,mon,677,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
37,blue-collar,married,1,0,telephone,mon,345,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,management,married,0,0,telephone,mon,185,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
39,management,divorced,0,0,telephone,mon,207,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
39,housemaid,married,0,0,telephone,mon,69,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
56,blue-collar,married,0,0,telephone,mon,100,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,services,married,1,0,telephone,mon,125,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,blue-collar,married,1,0,telephone,mon,461,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,0,spring
43,unemployed,single,1,0,telephone,mon,240,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
39,management,married,1,0,telephone,mon,193,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
53,blue-collar,married,1,0,telephone,mon,136,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,1,0,telephone,mon,528,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,0,0,telephone,mon,541,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,admin.,single,1,0,telephone,mon,338,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,admin.,married,1,0,telephone,mon,163,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
51,blue-collar,married,1,0,telephone,mon,87,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
60,blue-collar,married,0,0,telephone,mon,301,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,services,divorced,1,0,telephone,mon,52,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,blue-collar,married,1,1,telephone,mon,98,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
43,technician,single,1,0,telephone,mon,186,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
59,services,married,0,0,telephone,mon,579,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
24,management,single,1,0,telephone,mon,165,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
37,blue-collar,single,1,1,telephone,mon,163,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,blue-collar,married,0,0,telephone,mon,46,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,0,0,telephone,mon,559,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,services,divorced,0,0,telephone,mon,2033,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,entrepreneur,married,0,0,telephone,mon,85,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
38,services,married,1,1,telephone,mon,506,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,management,divorced,1,0,telephone,mon,843,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
43,blue-collar,married,0,1,telephone,mon,181,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,services,married,0,0,telephone,mon,427,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,technician,married,1,1,telephone,mon,292,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,admin.,single,0,0,telephone,mon,192,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
43,services,married,0,0,telephone,mon,93,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
46,management,married,0,0,telephone,mon,128,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
44,services,married,1,1,telephone,mon,107,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
51,admin.,single,0,0,telephone,mon,303,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
28,services,married,1,0,telephone,mon,81,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,blue-collar,married,0,0,telephone,mon,270,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,technician,married,0,0,telephone,mon,228,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
46,blue-collar,married,1,0,telephone,mon,240,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,blue-collar,married,1,1,telephone,mon,673,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,0,spring
36,admin.,married,1,0,telephone,mon,233,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
54,blue-collar,married,0,0,telephone,mon,102,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
57,management,married,0,0,telephone,mon,461,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
51,technician,married,0,0,telephone,mon,250,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
54,retired,married,0,0,telephone,mon,130,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
49,blue-collar,married,0,0,telephone,mon,252,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,admin.,married,1,0,telephone,mon,138,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
41,technician,married,0,0,telephone,mon,412,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
38,blue-collar,single,1,0,telephone,mon,179,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,management,divorced,0,0,telephone,mon,19,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,technician,married,0,0,telephone,mon,228,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
34,blue-collar,single,1,0,telephone,mon,55,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
48,blue-collar,married,1,0,telephone,mon,717,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
37,admin.,married,1,0,telephone,mon,313,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,blue-collar,single,0,0,telephone,mon,289,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,admin.,married,1,0,telephone,mon,683,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
43,blue-collar,married,1,0,telephone,mon,1077,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
33,services,married,0,0,telephone,mon,146,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
32,services,single,0,0,telephone,mon,167,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,blue-collar,married,1,0,telephone,mon,356,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
44,blue-collar,married,1,0,telephone,mon,172,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,student,single,0,0,telephone,mon,218,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
35,student,single,1,1,telephone,mon,217,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
35,unemployed,married,0,0,telephone,mon,67,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
36,services,single,0,0,telephone,mon,291,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,student,single,1,0,telephone,mon,248,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
36,student,single,1,0,telephone,mon,256,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
55,housemaid,divorced,0,0,telephone,mon,286,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
59,admin.,married,0,0,telephone,mon,477,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
39,blue-collar,married,1,0,telephone,mon,471,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
39,housemaid,married,1,0,telephone,mon,381,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
50,housemaid,married,0,0,telephone,mon,287,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,services,married,0,0,telephone,mon,322,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
35,admin.,married,1,0,telephone,mon,216,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,services,single,1,0,telephone,mon,210,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
46,technician,married,1,0,telephone,mon,288,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,technician,married,0,0,telephone,mon,168,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
58,retired,married,0,0,telephone,mon,132,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
42,technician,married,0,0,telephone,mon,64,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
35,admin.,single,0,0,telephone,mon,209,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
43,retired,married,0,0,telephone,mon,410,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,blue-collar,married,1,1,telephone,mon,177,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,admin.,married,1,0,telephone,mon,580,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
50,services,divorced,1,0,telephone,mon,165,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
32,management,divorced,1,0,telephone,mon,127,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
39,admin.,married,0,0,telephone,mon,357,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,self-employed,married,0,0,telephone,mon,175,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
44,admin.,married,1,0,telephone,mon,300,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
56,blue-collar,married,0,0,telephone,mon,136,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
48,admin.,married,0,0,telephone,mon,125,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
33,services,married,0,1,telephone,mon,189,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
43,management,married,0,1,telephone,mon,213,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
57,retired,married,0,0,telephone,mon,238,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,technician,single,0,0,telephone,mon,124,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
34,management,married,1,0,telephone,mon,18,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
34,services,single,0,0,telephone,mon,730,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
30,technician,married,0,0,telephone,mon,40,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
32,technician,single,0,0,telephone,mon,79,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
36,technician,single,1,0,telephone,mon,142,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,blue-collar,single,0,1,telephone,mon,389,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
33,services,single,0,0,telephone,mon,702,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
40,technician,divorced,0,0,telephone,mon,151,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
41,blue-collar,married,1,0,telephone,mon,211,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
51,services,married,1,0,telephone,mon,117,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
36,technician,married,1,0,telephone,mon,232,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
53,services,married,1,1,telephone,mon,370,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
58,blue-collar,married,1,0,telephone,mon,179,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
45,management,married,0,1,telephone,mon,46,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
33,admin.,married,0,1,telephone,mon,50,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
33,admin.,married,0,1,telephone,mon,181,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,technician,married,0,0,telephone,mon,361,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
43,admin.,divorced,0,0,telephone,mon,73,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
42,admin.,married,0,0,telephone,mon,67,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
27,blue-collar,single,0,0,telephone,mon,350,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,self-employed,single,1,0,telephone,mon,150,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
31,student,single,0,0,telephone,mon,332,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
54,management,divorced,0,0,telephone,mon,611,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
40,self-employed,married,0,0,telephone,mon,58,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
52,unemployed,married,1,0,telephone,mon,151,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
47,management,divorced,0,0,telephone,mon,89,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,1,spring
49,housemaid,married,0,0,telephone,mon,152,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
32,admin.,single,0,0,telephone,mon,611,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
49,housemaid,single,1,1,telephone,mon,110,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
50,blue-collar,married,0,0,telephone,mon,463,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
34,services,married,0,0,telephone,mon,962,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,0,spring
